,Activation,Channels,Loss,Mae,Mse
0,relu,"[1, 14, 21]",23596.333984375,124.70098876953125,23596.333984375
1,relu,"[12, 14, 20]",23611.806640625,127.65966033935547,23611.806640625
2,relu,"[10, 11, 13]",21791.24609375,121.09632873535156,21791.24609375
3,relu,"[8, 17, 22]",21001.876953125,118.59566497802734,21001.876953125
4,relu,"[6, 11, 20]",21580.357421875,120.65299224853516,21580.357421875
5,relu,"[7, 8, 21]",22381.5703125,123.62632751464844,22381.5703125
6,relu,"[0, 12, 22]",15703.3486328125,99.15892791748047,15703.3486328125
7,relu,"[8, 11, 13]",24007.095703125,129.85899353027344,24007.095703125
8,relu,"[2, 10, 22]",25241.5234375,130.9010009765625,25241.5234375
9,relu,"[7, 15, 22]",21079.61328125,118.00899505615234,21079.61328125
10,relu,"[8, 16, 23]",19064.189453125,112.649658203125,19064.189453125
11,relu,"[1, 4, 14]",20572.97265625,117.42166900634766,20572.97265625
12,relu,"[1, 5, 12]",21525.4296875,119.21233367919922,21525.4296875
13,relu,"[7, 8, 11]",22901.302734375,122.2316665649414,22901.302734375
14,relu,"[3, 11, 17]",22021.564453125,121.54700469970703,22021.564453125
15,relu,"[6, 12, 13]",21740.947265625,121.65033721923828,21740.947265625
16,relu,"[3, 7, 10]",22554.00390625,124.05901336669922,22554.00390625
17,relu,"[4, 13, 23]",17979.36328125,109.17233276367188,17979.36328125
18,relu,"[10, 13, 22]",22467.32421875,123.60700225830078,22467.32421875
19,relu,"[4, 9, 15]",20331.390625,115.149658203125,20331.390625
20,relu,"[4, 16, 17]",21634.037109375,121.13584899902344,21634.037109375
21,relu,"[3, 10, 13]",20880.34765625,118.7523422241211,20880.349609375
22,relu,"[3, 10, 13]",21599.3671875,121.52833557128906,21599.3671875
23,relu,"[8, 10, 15]",21202.376953125,116.90833282470703,21202.376953125
24,relu,"[6, 16, 22]",22186.2890625,122.59700775146484,22186.2890625
25,relu,"[15, 19, 21]",21239.80078125,119.86632537841797,21239.80078125
26,relu,"[1, 13, 19]",22698.220703125,125.55233001708984,22698.220703125
27,relu,"[5, 18, 21]",18035.7421875,107.94232940673828,18035.740234375
28,relu,"[3, 4, 21]",22912.08203125,124.35366821289062,22912.08203125
29,relu,"[7, 9, 11]",19837.462890625,113.3070068359375,19837.46484375
30,relu,"[8, 15, 17]",21969.458984375,126.48799133300781,21969.458984375
31,relu,"[0, 7, 18]",18133.7109375,107.92833709716797,18133.7109375
32,relu,"[1, 14, 21]",21122.4140625,120.32300567626953,21122.4140625
33,relu,"[17, 20, 22]",23583.373046875,130.4563446044922,23583.373046875
34,relu,"[5, 13, 14]",20262.8125,115.79700469970703,20262.8125
35,relu,"[4, 14, 22]",25263.794921875,136.7151641845703,25263.794921875
36,relu,"[0, 15, 23]",21467.25,118.60832977294922,21467.25
37,relu,"[5, 15, 23]",23998.115234375,126.95150756835938,23998.115234375
38,relu,"[3, 7, 10]",19865.22265625,114.54766845703125,19865.22265625
39,relu,"[0, 2, 12]",20676.958984375,116.71499633789062,20676.958984375
40,relu,"[2, 10, 19]",19610.990234375,110.67766571044922,19610.990234375
41,relu,"[3, 9, 20]",18694.328125,111.56098937988281,18694.328125
42,relu,"[6, 15, 21]",13634.9453125,86.71544647216797,13634.9453125
43,relu,"[3, 12, 20]",24711.361328125,132.6236572265625,24711.361328125
44,relu,"[10, 12, 13]",19128.556640625,108.70700073242188,19128.556640625
45,relu,"[0, 7, 17]",20335.810546875,119.46566772460938,20335.810546875
46,relu,"[10, 11, 18]",20117.712890625,119.00698852539062,20117.716796875
47,relu,"[13, 14, 16]",21885.630859375,121.52233123779297,21885.630859375
48,relu,"[5, 12, 22]",19959.8046875,115.56034088134766,19959.8046875
49,relu,"[15, 19, 23]",24459.90625,127.02100372314453,24459.90625
50,relu,"[0, 2, 4, 6, 14, 23]",21908.8203125,121.15855407714844,21908.8203125
51,relu,"[2, 4, 5, 6, 10, 16]",24421.421875,128.24566650390625,24421.421875
