,Activation,Channels,Loss,Mae,Mse
0,relu,[14  1 21],173.69189453125,173.69189453125,5.832688808441162
1,relu,[12 20 14],97.70246124267578,97.70246124267578,2.593665838241577
2,relu,[13 10 11],181.04469299316406,181.04469299316406,3.1836845874786377
3,relu,[22 17  8],246.1981964111328,246.1981964111328,6.486961364746094
4,relu,[20  6 11],184.6355743408203,184.6355743408203,4.913764476776123
5,relu,[ 7 21  8],104.8611831665039,104.8611831665039,2.6830570697784424
6,relu,[ 0 22 12],188.7170867919922,188.7170867919922,5.451066017150879
7,relu,[13 11  8],133.90142822265625,133.90142822265625,5.118806838989258
8,relu,[22 10  2],737.6919555664062,737.6919555664062,11.407475471496582
9,relu,[22 15  7],125.9184341430664,125.9184341430664,4.511503219604492
10,relu,[ 8 23 16],228.12060546875,228.12060546875,6.174248695373535
11,relu,[ 1  4 14],159.83628845214844,159.83627319335938,3.577125310897827
12,relu,[12  1  5],134.9617462158203,134.9617462158203,4.0773797035217285
13,relu,[11  8  7],152.5843963623047,152.5843963623047,4.02287483215332
14,relu,[11  3 17],178.85525512695312,178.85525512695312,4.9132981300354
15,relu,[12  6 13],104.90949249267578,104.90949249267578,3.313706159591675
16,relu,[ 7  3 10],172.98936462402344,172.98936462402344,4.29709005355835
17,relu,[13  4 23],122.67546844482422,122.67546844482422,3.354090690612793
18,relu,[22 13 10],198.99610900878906,198.99610900878906,3.2911946773529053
19,relu,[15  4  9],217.583984375,217.583984375,6.953668594360352
20,relu,[17 16  4],282.5395202636719,282.5395202636719,8.0455322265625
21,relu,[ 3 13 10],121.94541931152344,121.94541931152344,3.6748030185699463
22,relu,[ 3 10 13],118.06192779541016,118.06192779541016,2.8626108169555664
23,relu,[ 8 10 15],196.5394744873047,196.5394744873047,5.7883501052856445
24,relu,[ 6 16 22],224.78857421875,224.78857421875,6.7719573974609375
25,relu,[21 19 15],132.53564453125,132.53564453125,3.2310078144073486
26,relu,[13  1 19],143.6707763671875,143.6707763671875,4.371013641357422
27,relu,[ 5 21 18],132.69358825683594,132.69358825683594,3.8373982906341553
28,relu,[ 3  4 21],182.98477172851562,182.98477172851562,3.167405605316162
29,relu,[ 7  9 11],173.9629364013672,173.9629364013672,4.456097602844238
30,relu,[ 8 17 15],290.2812194824219,290.2812194824219,9.685307502746582
31,relu,[18  0  7],91.59437561035156,91.59437561035156,1.7652596235275269
32,relu,[21 14  1],117.43502807617188,117.43501281738281,3.554298162460327
33,relu,[20 22 17],173.97935485839844,173.97935485839844,5.058999061584473
34,relu,[14  5 13],309.9486083984375,309.9486083984375,8.6421537399292
35,relu,[22  4 14],181.975830078125,181.975830078125,3.5206689834594727
36,relu,[ 0 23 15],214.6161651611328,214.6161651611328,4.894778251647949
37,relu,[15  5 23],215.10223388671875,215.10223388671875,5.2967681884765625
38,relu,[10  7  3],144.21324157714844,144.2132568359375,3.4609978199005127
39,relu,[12  0  2],140.66665649414062,140.66665649414062,4.517746925354004
40,relu,[10 19  2],196.0902099609375,196.0902099609375,6.277365684509277
41,relu,[ 9 20  3],268.1163330078125,268.1163330078125,6.038900852203369
42,relu,[21 15  6],189.8839111328125,189.8839111328125,4.093782424926758
43,relu,[12  3 20],132.31301879882812,132.31301879882812,4.630618572235107
44,relu,[12 13 10],106.515625,106.515625,3.7035090923309326
45,relu,[ 0  7 17],128.9114532470703,128.9114532470703,3.5879862308502197
46,relu,[18 10 11],138.07179260253906,138.07179260253906,4.897426128387451
47,relu,[16 13 14],126.2871322631836,126.2871322631836,3.776562452316284
48,relu,[ 5 22 12],203.1706085205078,203.1706085205078,6.364187717437744
49,relu,[15 23 19],177.151611328125,177.151611328125,3.1651203632354736
50,relu,[23  0  2  4  6 14],195.49363708496094,195.49363708496094,5.060317516326904
51,relu,[10 16  6  5  4  2],195.81240844726562,195.81240844726562,3.060549020767212
52,relu,[ 6 22  1 16 15  5],180.8030242919922,180.80300903320312,4.101542949676514
53,relu,[22  2 13  5 17  9],206.35365295410156,206.35365295410156,5.885522842407227
54,relu,[20 14 23 10  2 12],111.42743682861328,111.42743682861328,3.5582096576690674
55,relu,[19 23 13  5  7  6],127.99158477783203,127.99158477783203,2.432304620742798
56,relu,[22 21 13 15 11  5],170.4684600830078,170.4684600830078,3.077803611755371
57,relu,[ 3 14 16 17  8 15],177.62173461914062,177.62173461914062,4.3496575355529785
58,relu,[20 16 17 21 10 14],161.2372283935547,161.2372283935547,3.360980749130249
59,relu,[14 15 13  0  1  2],107.71215057373047,107.71215057373047,2.9274299144744873
60,relu,[ 7 18  5  9  2  0],121.68370056152344,121.68370056152344,3.272284746170044
61,relu,[10 11  3 15  9  2],162.889404296875,162.889404296875,3.5772342681884766
62,relu,[22 16 19  9  8  4],128.56121826171875,128.56121826171875,3.3395402431488037
63,relu,[18 14 19 10  5 17],117.25016784667969,117.25016784667969,4.076194763183594
64,relu,[20 18 12  0  2  6],107.02404022216797,107.02404022216797,2.519484758377075
65,relu,[ 5  9 12 23 19  0],133.73841857910156,133.73841857910156,5.129651069641113
66,relu,[ 8 13  9  5  7  4],113.03179931640625,113.03178405761719,2.9897897243499756
67,relu,[ 7 23  2  4  8 14],120.41222381591797,120.41222381591797,3.692976951599121
68,relu,[15  8  3 13 23 18],102.55654907226562,102.55654907226562,3.8858234882354736
69,relu,[22  4  7 17 11  0],174.64462280273438,174.6446075439453,4.22674560546875
70,relu,[ 8 12 19 16  4  5],171.7045135498047,171.7045135498047,4.486915111541748
71,relu,[ 3  0  4 21 10  7],114.28211212158203,114.28211212158203,1.9269800186157227
