,Activation,Channels,Loss,Mae,Mse
0,relu,"[1, 14, 21]",119.32189178466797,3.4068057537078857,119.32189178466797
1,relu,"[12, 14, 20]",96.78958892822266,2.822765588760376,96.78958892822266
2,relu,"[10, 11, 13]",200.2042694091797,4.5762529373168945,200.2042694091797
3,relu,"[8, 17, 22]",176.843017578125,4.439949989318848,176.843017578125
4,relu,"[6, 11, 20]",188.0412139892578,4.335257053375244,188.0412139892578
5,relu,"[7, 8, 21]",121.19231414794922,3.5153958797454834,121.19231414794922
6,relu,"[0, 12, 22]",129.0285186767578,3.8814079761505127,129.0285186767578
7,relu,"[8, 11, 13]",144.0841827392578,4.231246471405029,144.08416748046875
8,relu,"[2, 10, 22]",582.5379638671875,9.987005233764648,582.5379638671875
9,relu,"[7, 15, 22]",117.84675598144531,3.007669687271118,117.84675598144531
10,relu,"[8, 16, 23]",1259.4063720703125,14.8800687789917,1259.4063720703125
11,relu,"[1, 4, 14]",179.40953063964844,6.262185096740723,179.40953063964844
12,relu,"[1, 5, 12]",116.98324584960938,3.4976232051849365,116.98324584960938
13,relu,"[7, 8, 11]",128.8253173828125,3.9783003330230713,128.8253173828125
14,relu,"[3, 11, 17]",226.36317443847656,7.237345218658447,226.36317443847656
15,relu,"[6, 12, 13]",60.8292236328125,1.9658021926879883,60.8292236328125
16,relu,"[3, 7, 10]",130.72100830078125,3.119844675064087,130.72100830078125
17,relu,"[4, 13, 23]",107.70650482177734,2.1785759925842285,107.70651245117188
18,relu,"[10, 13, 22]",150.4786376953125,3.299546718597412,150.47865295410156
19,relu,"[4, 9, 15]",207.12994384765625,5.041139125823975,207.12994384765625
20,relu,"[4, 16, 17]",165.29591369628906,4.640573501586914,165.29591369628906
21,relu,"[3, 10, 13]",132.53555297851562,3.531153917312622,132.53555297851562
22,relu,"[3, 10, 13]",122.16973876953125,3.6938118934631348,122.16973876953125
23,relu,"[8, 10, 15]",301.69281005859375,6.521838188171387,301.69281005859375
24,relu,"[6, 16, 22]",533.7326049804688,10.515213012695312,533.7326049804688
25,relu,"[15, 19, 21]",105.91812133789062,2.6297531127929688,105.91812133789062
26,relu,"[1, 13, 19]",43232.95703125,180.72677612304688,43232.95703125
27,relu,"[5, 18, 21]",124.99695587158203,3.292325496673584,124.99695587158203
28,relu,"[3, 4, 21]",250.70046997070312,5.5189714431762695,250.70046997070312
29,relu,"[7, 9, 11]",154.80123901367188,4.887291431427002,154.80123901367188
30,relu,"[8, 15, 17]",235.93594360351562,6.357712268829346,235.93594360351562
31,relu,"[0, 7, 18]",97.32097625732422,2.9006025791168213,97.32097625732422
32,relu,"[1, 14, 21]",155.10057067871094,5.5266265869140625,155.10057067871094
33,relu,"[17, 20, 22]",183.84481811523438,5.218268394470215,183.84481811523438
34,relu,"[5, 13, 14]",103.17550659179688,2.8034093379974365,103.17550659179688
35,relu,"[4, 14, 22]",208.61505126953125,6.033513069152832,208.61505126953125
36,relu,"[0, 15, 23]",159.12924194335938,4.219623565673828,159.12924194335938
37,relu,"[5, 15, 23]",164.54869079589844,4.313032627105713,164.54869079589844
38,relu,"[3, 7, 10]",153.61953735351562,3.7360806465148926,153.6195526123047
39,relu,"[0, 2, 12]",116.10375213623047,3.7821285724639893,116.10375213623047
40,relu,"[2, 10, 19]",233.930419921875,7.151002407073975,233.930419921875
41,relu,"[3, 9, 20]",103.82894897460938,2.0290067195892334,103.82894897460938
42,relu,"[6, 15, 21]",204.7081298828125,6.178123950958252,204.70809936523438
43,relu,"[3, 12, 20]",96.357666015625,2.8207075595855713,96.357666015625
44,relu,"[10, 12, 13]",62.71324920654297,2.518059492111206,62.71324920654297
45,relu,"[0, 7, 17]",141.77645874023438,4.3902740478515625,141.77645874023438
46,relu,"[10, 11, 18]",140.21006774902344,3.524021863937378,140.21005249023438
47,relu,"[13, 14, 16]",130.44300842285156,4.546898365020752,130.44300842285156
48,relu,"[5, 12, 22]",127.71412658691406,3.7557125091552734,127.71412658691406
49,relu,"[15, 19, 23]",43232.95703125,180.72677612304688,43232.95703125
50,relu,"[0, 2, 4, 6, 14, 23]",267.3301086425781,7.023230075836182,267.3301086425781
51,relu,"[2, 4, 5, 6, 10, 16]",162.52992248535156,2.798307180404663,162.52992248535156
52,relu,"[1, 5, 6, 15, 16, 22]",179.75718688964844,4.61208438873291,179.75718688964844
53,relu,"[2, 5, 9, 13, 17, 22]",199.63514709472656,4.449344635009766,199.63514709472656
54,relu,"[2, 10, 12, 14, 20, 23]",117.72545623779297,2.5197150707244873,117.72545623779297
55,relu,"[5, 6, 7, 13, 19, 23]",191.52735900878906,3.4846537113189697,191.52735900878906
56,relu,"[5, 11, 13, 15, 21, 22]",183.3012237548828,3.327589511871338,183.3012237548828
57,relu,"[3, 8, 14, 15, 16, 17]",156.85292053222656,4.3885369300842285,156.85292053222656
58,relu,"[10, 14, 16, 17, 20, 21]",156.55442810058594,3.3885436058044434,156.55442810058594
59,relu,"[0, 1, 2, 13, 14, 15]",114.25536346435547,4.51100492477417,114.25536346435547
60,relu,"[0, 2, 5, 7, 9, 18]",102.5844955444336,2.935526132583618,102.58448791503906
61,relu,"[2, 3, 9, 10, 11, 15]",193.79971313476562,4.201874732971191,193.79971313476562
62,relu,"[4, 8, 9, 16, 19, 22]",43232.95703125,180.72677612304688,43232.95703125
63,relu,"[5, 10, 14, 17, 18, 19]",138.21090698242188,4.292147159576416,138.21090698242188
64,relu,"[0, 2, 6, 12, 18, 20]",80.39393615722656,1.9352816343307495,80.39393615722656
65,relu,"[0, 5, 9, 12, 19, 23]",131.72372436523438,3.5066447257995605,131.72372436523438
66,relu,"[4, 5, 7, 8, 9, 13]",116.50313568115234,2.5604183673858643,116.50313568115234
67,relu,"[2, 4, 7, 8, 14, 23]",172.9148712158203,3.911085605621338,172.9148712158203
68,relu,"[3, 8, 13, 15, 18, 23]",105.06623840332031,4.407569408416748,105.06623840332031
69,relu,"[0, 4, 7, 11, 17, 22]",172.11697387695312,3.2643349170684814,172.1169891357422
70,relu,"[4, 5, 8, 12, 16, 19]",112.66590118408203,2.7371938228607178,112.66590118408203
71,relu,"[0, 3, 4, 7, 10, 21]",150.03758239746094,4.9910736083984375,150.03758239746094
72,relu,"[0, 4, 6, 8, 12, 21]",124.56069946289062,3.265911102294922,124.56069946289062
73,relu,"[1, 3, 12, 18, 20, 23]",73.60309600830078,2.8922595977783203,73.60309600830078
74,relu,"[0, 4, 14, 19, 20, 22]",125.11457061767578,3.0634477138519287,125.11457061767578
75,relu,"[1, 2, 9, 14, 18, 23]",129.37245178222656,5.269050121307373,129.37245178222656
76,relu,"[4, 9, 18, 19, 22, 23]",95.39855194091797,3.0288190841674805,95.39855194091797
77,relu,"[0, 4, 11, 15, 16, 21]",190.79197692871094,5.37344217300415,190.79197692871094
78,relu,"[0, 1, 11, 13, 19, 20]",115.60174560546875,3.6767070293426514,115.60174560546875
79,relu,"[9, 10, 13, 15, 17, 22]",116.67364501953125,2.4216625690460205,116.67364501953125
80,relu,"[3, 4, 5, 13, 14, 22]",203.79786682128906,5.353074550628662,203.79786682128906
81,relu,"[4, 6, 7, 12, 17, 22]",112.19049835205078,2.594820499420166,112.19049835205078
82,relu,"[2, 4, 9, 11, 17, 19]",187.4184112548828,5.4255781173706055,187.4184112548828
83,relu,"[3, 11, 13, 17, 19, 21]",133.8933868408203,3.548499822616577,133.8933868408203
84,relu,"[2, 3, 7, 9, 11, 13]",228.41854858398438,4.165822982788086,228.41854858398438
85,relu,"[0, 2, 13, 15, 16, 19]",110.6548843383789,3.5510334968566895,110.6548843383789
86,relu,"[0, 3, 9, 10, 15, 20]",132.48365783691406,3.719679832458496,132.48365783691406
87,relu,"[0, 1, 3, 4, 9, 19]",108.45714569091797,3.9391117095947266,108.45714569091797
88,relu,"[0, 6, 17, 18, 21, 22]",98.77261352539062,3.145819902420044,98.77261352539062
89,relu,"[2, 3, 8, 16, 18, 23]",110.0279312133789,4.399165630340576,110.0279312133789
90,relu,"[1, 3, 12, 15, 20, 21]",104.18661499023438,3.182429552078247,104.18660736083984
91,relu,"[12, 13, 15, 17, 19, 22]",97.32006072998047,3.097756862640381,97.32006072998047
92,relu,"[1, 6, 15, 16, 19, 20]",117.03633880615234,4.508391380310059,117.03633880615234
93,relu,"[1, 2, 4, 8, 9, 14]",132.12765502929688,2.5972583293914795,132.12765502929688
94,relu,"[2, 9, 10, 12, 17, 18]",93.95014953613281,1.946625828742981,93.95014953613281
95,relu,"[0, 7, 10, 12, 17, 23]",117.17723846435547,2.6396782398223877,117.17723846435547
96,relu,"[2, 7, 9, 13, 19, 20]",94.14351654052734,2.921659231185913,94.14351654052734
97,relu,"[1, 2, 5, 8, 10, 12]",267.7223815917969,3.98796010017395,267.722412109375
98,relu,"[0, 5, 6, 10, 11, 13]",175.20065307617188,4.265936374664307,175.20065307617188
99,relu,"[8, 12, 16, 18, 21, 22]",67.71063232421875,4.080312728881836,67.71063232421875
100,relu,"[0, 2, 5, 8, 10, 11, 18, 19, 21]",238.3965606689453,4.457036018371582,238.3965606689453
101,relu,"[4, 7, 8, 11, 15, 18, 19, 20, 23]",98.85340118408203,2.3044142723083496,98.85340118408203
102,relu,"[0, 3, 6, 10, 13, 14, 15, 19, 23]",43232.95703125,180.72677612304688,43232.95703125
103,relu,"[1, 2, 10, 12, 15, 16, 17, 21, 22]",118.92086029052734,3.6130433082580566,118.92086029052734
