,Activation,Channels,Loss,Mae,Mse
0,relu,[ 8  0  4 10],1.4406970739364624,1.4406970739364624,1.0315992832183838
1,relu,[12 19  5  1],0.1095641478896141,0.1095641478896141,0.24789667129516602
2,relu,[15  5  4 19],0.056116778403520584,0.056116778403520584,0.20153188705444336
3,relu,[ 1 13 22 10],0.007628841325640678,0.007628841325640678,0.07233411073684692
4,relu,[ 7  5 19 15],0.01464537438005209,0.01464537438005209,0.09613901376724243
5,relu,[10 16 12 19],114.83013153076172,114.83013153076172,9.416833877563477
6,relu,[1 0 7 4],0.0749799832701683,0.0749799832701683,0.23254971206188202
7,relu,[14 15  1  8],23.30289077758789,23.30289077758789,4.199990749359131
8,relu,[ 5 20 22  4],0.019497519358992577,0.019497519358992577,0.0898098424077034
9,relu,[14  1 13 15],0.16885419189929962,0.16885419189929962,0.34020379185676575
10,relu,[18 12 21 17],0.048674970865249634,0.048674970865249634,0.18536649644374847
11,relu,[16  5  8  2],186.24046325683594,186.24046325683594,11.989513397216797
12,relu,[ 9 13 17 18],0.05169425904750824,0.05169425904750824,0.19177734851837158
13,relu,[20  7 21 12],0.08174703270196915,0.08174703270196915,0.2493390440940857
14,relu,[ 9  4 20 21],0.3080366253852844,0.3080366253852844,0.476468950510025
15,relu,[15 23 10 20],0.11345451325178146,0.11345451325178146,0.27303004264831543
16,relu,[ 6  3 15 22],0.008973957970738411,0.008973957970738411,0.07379598915576935
17,relu,[ 7 17 15 23],0.01873307302594185,0.01873307302594185,0.11380362510681152
18,relu,[ 2  9  4 12],42.53133773803711,42.53133773803711,5.702308654785156
19,relu,[10 18 12  0],0.05523468181490898,0.05523468181490898,0.20002342760562897
20,relu,[11 22  8 15  3  4  2  0],539.181640625,539.181640625,19.391504287719727
21,relu,[10 11  3  2 21  0 17 19],0.9925324320793152,0.9925324320793152,0.8385171294212341
22,relu,[19 17  9 15  2  6  4  5],0.03808412700891495,0.03808412700891495,0.16481803357601166
23,relu,[22 20 12 14 16  6  4 23],0.006515156477689743,0.006515156477689743,0.06768228858709335
24,relu,[ 1 12 20 14  4 16 10 18],0.006778809241950512,0.006778809241950512,0.06733084470033646
25,relu,[11 20  6 14  8  0 12 19],0.07507526129484177,0.07507526129484177,0.23315918445587158
26,relu,[ 9  8 23  1 12  5 17 19],0.09623433649539948,0.09623433649539948,0.22585736215114594
27,relu,[ 6  3  9  2  4 11 18 13],0.0785626769065857,0.0785626769065857,0.24108749628067017
28,relu,[ 6 11 19  1 14 20 18  3],0.05347806215286255,0.05347806215286255,0.19296149909496307
29,relu,[ 0  9  4  5 19 23 13  8],0.025027133524417877,0.025027133524417877,0.12804199755191803
30,relu,[20  9 17  7  5 21 11  4],0.08064833283424377,0.08064833283424377,0.24110624194145203
31,relu,[ 2 23 21  8  6 19 14 15],0.0448058620095253,0.0448058620095253,0.14092330634593964
32,relu,[ 3 16  4 10 14  8 23 11],0.11397567391395569,0.11397567391395569,0.2980831265449524
33,relu,[18 12 16  3  4 23  5  6],0.03145960345864296,0.03145960345864296,0.1476682722568512
34,relu,[ 1 12  2 23 11  4  8 19],0.02295823022723198,0.02295823022723198,0.12984013557434082
35,relu,[20 12  7  5 13  6 19  2],0.03475067764520645,0.03475067764520645,0.15494900941848755
36,relu,[14 11 10 12  5 19  3  2],1.4946584701538086,1.4946584701538086,1.011562705039978
37,relu,[20  0 14  2  1 15  8 10],539.186279296875,539.186279296875,19.39160919189453
38,relu,[11 16 19 17 14 20  5  2],0.05911054089665413,0.05911054089665413,0.20546002686023712
39,relu,[11 21 10  8  3 14 15  7],0.06831526756286621,0.06831526756286621,0.1354387402534485
40,relu,[19  0 23 17 13 16  8  6 11 15  5 21  9  1 18 10],0.11362720280885696,0.11362720280885696,0.2892777621746063
41,relu,[12  9 14 11 22 18 20 21  6 13  4 15  3  1  7 10],0.08253560960292816,0.08253560960292816,0.24607151746749878
42,relu,[ 6 15  9 13 10  8  0  5 12  4 23  1 16  3 20 21],0.05050783231854439,0.05050783231854439,0.1903986930847168
43,relu,[10  0 15 16  1  5 13  6 20 12  8  3 19  2  4  7],0.06817172467708588,0.06817172467708588,0.22089014947414398
44,relu,[13 12 10 18  8  9 21 14 19 17  4  6  0 22 23 20],0.08975421637296677,0.08975421637296677,0.25603532791137695
45,relu,[ 6  4 17 13 11  5 23 19  1 10  7 14 12 22  8  3],0.08537181466817856,0.08537181466817856,0.24630996584892273
46,relu,[17  2  1 16 19  7 21  3  5 12 11 20 23 13 15 22],0.08897905796766281,0.08897905796766281,0.25389716029167175
47,relu,[22  0  1 18  9 11  3 23  2 13 15  7 14  8  5 12],0.07373928278684616,0.07373928278684616,0.2321593165397644
48,relu,[10  6 20  2  8 11 18  5  1 17 14 23 13 15 19  7],0.0846698060631752,0.0846698060631752,0.2481575310230255
49,relu,[22 23  2 10  3 14 21 20 18  8 12 19 11  5  6 15],0.06423154473304749,0.06423154473304749,0.2116791009902954
50,relu,[19 23  0 15  2  1 22  9  3 17 18 14 13  4 12 11],0.12250694632530212,0.12250694632530212,0.3008752465248108
51,relu,[ 0  5  4  2 14  1 23 12  9 20  7  6 22 13  3 21],0.08983266353607178,0.08983266353607178,0.25606995820999146
52,relu,[13 14 10  0 22 17  8 21 20  6 18  2 19 11  5 16],0.10439816117286682,0.10439816117286682,0.271609902381897
53,relu,[21 20 15  4  9  1 13 19  8  2 17 14 11  7 18 12],0.08173071593046188,0.08173071593046188,0.2411186695098877
