,Activation,Channels,Loss,Mae,Mse
0,relu,"[1, 14, 21]",18425.330078125,114.45889282226562,18425.330078125
1,relu,"[12, 14, 20]",16291.740234375,91.13186645507812,16291.740234375
2,relu,"[10, 11, 13]",22607.126953125,123.20524597167969,22607.125
3,relu,"[8, 17, 22]",16489.751953125,98.32797241210938,16489.751953125
4,relu,"[6, 11, 20]",15710.0498046875,94.9603042602539,15710.0498046875
5,relu,"[7, 8, 21]",20713.666015625,122.7316665649414,20713.666015625
6,relu,"[0, 12, 22]",17757.51171875,107.56767272949219,17757.51171875
7,relu,"[8, 11, 13]",13955.3681640625,88.2325668334961,13955.3681640625
8,relu,"[2, 10, 22]",15158.7119140625,92.35021209716797,15158.7119140625
9,relu,"[7, 15, 22]",15381.1103515625,92.4876708984375,15381.1103515625
10,relu,"[8, 16, 23]",20003.36328125,122.18700408935547,20003.36328125
11,relu,"[1, 4, 14]",15113.1953125,90.96295928955078,15113.1953125
12,relu,"[1, 5, 12]",16855.59765625,102.43580627441406,16855.59765625
13,relu,"[7, 8, 11]",15401.16015625,91.78614807128906,15401.16015625
14,relu,"[3, 11, 17]",19819.845703125,111.10553741455078,19819.845703125
15,relu,"[6, 12, 13]",17256.32421875,107.89189147949219,17256.32421875
16,relu,"[3, 7, 10]",17020.93359375,101.80546569824219,17020.93359375
17,relu,"[4, 13, 23]",16315.8701171875,95.7056655883789,16315.8701171875
18,relu,"[10, 13, 22]",15981.919921875,93.79523468017578,15981.919921875
19,relu,"[4, 9, 15]",14516.103515625,85.32485961914062,14516.103515625
20,relu,"[4, 16, 17]",18449.123046875,103.63873291015625,18449.123046875
21,relu,"[3, 10, 13]",21470.619140625,122.99664306640625,21470.619140625
22,relu,"[3, 10, 13]",25025.763671875,140.25033569335938,25025.763671875
23,relu,"[8, 10, 15]",25773.7890625,139.0056610107422,25773.7890625
24,relu,"[6, 16, 22]",17998.583984375,101.16903686523438,17998.583984375
25,relu,"[15, 19, 21]",16158.2568359375,94.61460876464844,16158.2568359375
26,relu,"[1, 13, 19]",16306.39453125,94.76570892333984,16306.39453125
27,relu,"[5, 18, 21]",14712.634765625,92.03309631347656,14712.634765625
28,relu,"[3, 4, 21]",15272.361328125,95.33566284179688,15272.361328125
29,relu,"[7, 9, 11]",22657.875,124.16500091552734,22657.875
